Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
silver-diamond-ring,Silver Diamond Ring,"<p>Elegant sterling silver ring featuring a brilliant cut diamond. Perfect for everyday wear or special occasions.</p>",EDG Jewelry,Rings,"ring, silver, diamond, elegant",TRUE,Size,7,SKU-RING-001,5,shopify,10,deny,manual,299.00,399.00,TRUE,TRUE,,,1,Silver Diamond Ring,FALSE,Silver Diamond Ring - Elegant Diamond Jewelry,Discover our elegant silver diamond ring. Perfect for any occasion.,Apparel & Accessories > Jewelry > Rings,Unisex,Adult,,,,New,TRUE,,,,,,,kg,,,active
silver-diamond-ring,Silver Diamond Ring,,,,,,Size,8,SKU-RING-002,5,shopify,10,deny,manual,299.00,399.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
silver-diamond-ring,Silver Diamond Ring,,,,,,Size,9,SKU-RING-003,5,shopify,10,deny,manual,299.00,399.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
gold-pearl-necklace,Gold Pearl Necklace,"<p>Classic 18k gold necklace with cultured pearls. Timeless elegance for any wardrobe.</p>",EDG Jewelry,Necklaces,"necklace, gold, pearl, classic",TRUE,Length,18 inches,SKU-NECK-001,15,shopify,8,deny,manual,599.00,799.00,TRUE,TRUE,,,1,Gold Pearl Necklace,FALSE,Gold Pearl Necklace - Classic Pearl Jewelry,Luxurious gold pearl necklace. A timeless piece for your collection.,Apparel & Accessories > Jewelry > Necklaces,Unisex,Adult,,,,New,TRUE,,,,,,,kg,,,active
gold-pearl-necklace,Gold Pearl Necklace,,,,,,Length,20 inches,SKU-NECK-002,15,shopify,8,deny,manual,599.00,799.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
rose-gold-earrings,Rose Gold Earrings,"<p>Delicate rose gold drop earrings with cubic zirconia stones. Lightweight and comfortable for all-day wear.</p>",EDG Jewelry,Earrings,"earrings, rose gold, cz, delicate",TRUE,Style,Stud,SKU-EAR-001,3,shopify,15,deny,manual,149.00,199.00,TRUE,TRUE,,,1,Rose Gold Earrings,FALSE,Rose Gold Earrings - Delicate Drop Earrings,Beautiful rose gold earrings perfect for any occasion.,Apparel & Accessories > Jewelry > Earrings,Unisex,Adult,,,,New,TRUE,,,,,,,kg,,,active
rose-gold-earrings,Rose Gold Earrings,,,,,,Style,Drop,SKU-EAR-002,4,shopify,15,deny,manual,179.00,229.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
platinum-wedding-band,Platinum Wedding Band,"<p>Simple and elegant platinum wedding band. Comfortable fit with a polished finish.</p>",EDG Jewelry,Rings,"ring, platinum, wedding, band",TRUE,Size,6,SKU-BAND-001,8,shopify,12,deny,manual,899.00,1199.00,TRUE,TRUE,,,1,Platinum Wedding Band,FALSE,Platinum Wedding Band - Classic Wedding Ring,Timeless platinum wedding band for your special day.,Apparel & Accessories > Jewelry > Rings,Unisex,Adult,,,,New,TRUE,,,,,,,kg,,,active
platinum-wedding-band,Platinum Wedding Band,,,,,,Size,7,SKU-BAND-002,8,shopify,12,deny,manual,899.00,1199.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
platinum-wedding-band,Platinum Wedding Band,,,,,,Size,8,SKU-BAND-003,8,shopify,12,deny,manual,899.00,1199.00,TRUE,TRUE,,,,,,,,,,,,,,,,,kg,,,active
silver-bracelet,Silver Charm Bracelet,"<p>Sterling silver charm bracelet with customizable charms. Add your own personal touch.</p>",EDG Jewelry,Bracelets,"bracelet, silver, charm, customizable",TRUE,Length,7 inches,SKU-BRACE-001,12,shopify,6,deny,manual,199.00,249.00,TRUE,TRUE,,,1,Silver Charm Bracelet,FALSE,Silver Charm Bracelet - Customizable Jewelry,Personalize your style with this beautiful silver charm bracelet.,Apparel & Accessories > Jewelry > Bracelets,Unisex,Adult,,,,New,TRUE,,,,,,,kg,,,active
